Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
ACS chemical neuroscience.,ACS Chem Neurosci,,1948-7193,United States,Neurology,2010,101525337
AJNR.  American journal of neuroradiology.,AJNR Am J Neuroradiol,0195-6108,1936-959X,United States,Neurology; Radiology,1980,8003708
AJOB neuroscience.,AJOB Neurosci,2150-7740,2150-7759,United States,Ethics; Neurology,2010,101518076
ASN neuro.,ASN Neuro,,1759-0914,United States,Chemistry; Neurology,2009,101507115
Acta neurobiologiae experimentalis.,Acta Neurobiol Exp (Wars),0065-1400,1689-0035,Poland,Biology; Neurology,1970,1246675
Acta neurochirurgica.,Acta Neurochir (Wien),0001-6268,0942-0940,Austria,Neurosurgery,1950,0151000
Acta neurochirurgica. Supplement.,Acta Neurochir Suppl,0065-1419,,Austria,Neurosurgery,1994,100962752
Acta neurologica Belgica.,Acta Neurol Belg,0300-9009,2240-2993,Italy,Neurology,1970,0247035
Acta neurologica Taiwanica.,Acta Neurol Taiwan,1028-768X,3050-9173,India,Neurology,1996,9815355
Acta neuropathologica communications.,Acta Neuropathol Commun,,2051-5960,England,Neurology,2013,101610673
Acta neuropathologica.,Acta Neuropathol,0001-6322,1432-0533,Germany,Neurology,1961,0412041
Acta neuropsychiatrica.,Acta Neuropsychiatr,0924-2708,1601-5215,England,Neurology; Psychiatry,1989,9612501
Advances and technical standards in neurosurgery.,Adv Tech Stand Neurosurg,0095-4829,,United States,Neurosurgery,1974,7501064
Advances in neurobiology.,Adv Neurobiol,2190-5215,,United States,Neurology,2011,101571545
Aǧrı : Ağrı (Algoloji) Derneği'nin Yayın organıdır = The journal of the Turkish Society of Algology.,Agri,1300-0012,2458-9446,Turkey,Neurology; Psychophysiology,1989,9426197
Alzheimer disease and associated disorders.,Alzheimer Dis Assoc Disord,0893-0341,1546-4156,United States,Neurology; Psychiatry,1987,8704771
Alzheimer's & dementia : the journal of the Alzheimer's Association.,Alzheimers Dement,1552-5260,1552-5279,United States,Neurology; Psychiatry,2005,101231978
Alzheimer's research & therapy.,Alzheimers Res Ther,,1758-9193,England,Neurology,2009,101511643
American journal of Alzheimer's disease and other dementias.,Am J Alzheimers Dis Other Demen,1533-3175,1938-2731,United States,Neurology,2000,101082834
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics.",Am J Med Genet B Neuropsychiatr Genet,1552-4841,1552-485X,United States,"Genetics, Medical; Neurology; Psychiatry",2003,101235742
Amyotrophic lateral sclerosis & frontotemporal degeneration.,Amyotroph Lateral Scler Frontotemporal Degener,2167-8421,2167-9223,England,Neurology,2013,101587185
Annals of clinical and translational neurology.,Ann Clin Transl Neurol,,2328-9503,United States,Neurology,2013,101623278
Annals of dyslexia.,Ann Dyslexia,0736-9387,1934-7243,United States,Neurology,1982,8406611
Annals of neurology.,Ann Neurol,0364-5134,1531-8249,United States,Neurology,1977,7707449
Annual review of neuroscience.,Annu Rev Neurosci,0147-006X,1545-4126,United States,Neurology,1978,7804039
Annual review of vision science.,Annu Rev Vis Sci,2374-4642,2374-4650,United States,Neurology; Ophthalmology,2015,101660822
"Anästhesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS.",Anasthesiol Intensivmed Notfallmed Schmerzther,0939-2661,1439-1074,Germany,Anesthesiology; Critical Care; Emergency Medicine; Psychophysiology,1991,9109478
Applied neuropsychology. Adult,Appl Neuropsychol Adult,2327-9095,2327-9109,United States,Neurology; Psychology,2012,101584082
Applied neuropsychology. Child.,Appl Neuropsychol Child,2162-2965,2162-2973,United States,Neurology; Pediatrics; Psychology,2012,101584990
