Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Acta psychologica.,Acta Psychol (Amst),0001-6918,1873-6297,Netherlands,Psychology,1935,0370366
Administration and policy in mental health.,Adm Policy Ment Health,0894-587X,1573-3289,United States,Health Services; Psychology,1988,8914574
Aging & mental health.,Aging Ment Health,1360-7863,1364-6915,England,Geriatrics; Psychology,1997,9705773
American Indian and Alaska native mental health research : the journal of the National Center.,Am Indian Alsk Native Ment Health Res,,1533-7731,United States,Psychology,1999,100970957
American journal of community psychology.,Am J Community Psychol,0091-0562,1573-2770,England,Psychology,1973,0364535
Annual review of clinical psychology.,Annu Rev Clin Psychol,1548-5943,1548-5951,United States,Psychology,2005,101235325
Annual review of psychology.,Annu Rev Psychol,0066-4308,1545-2085,United States,Psychology,1950,0372374
"Anxiety, stress, and coping.",Anxiety Stress Coping,1061-5806,1477-2205,England,Behavioral Sciences; Psychology,1992,9212242
Applied ergonomics.,Appl Ergon,0003-6870,1872-9126,England,Psychology,1969,0261412
Applied neuropsychology. Adult,Appl Neuropsychol Adult,2327-9095,2327-9109,United States,Neurology; Psychology,2012,101584082
Applied neuropsychology. Child.,Appl Neuropsychol Child,2162-2965,2162-2973,United States,Neurology; Pediatrics; Psychology,2012,101584990
Applied psychology. Health and well-being.,Appl Psychol Health Well Being,1758-0846,1758-0854,England,Behavioral Sciences; Psychology,2009,101502957
Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists.,Arch Clin Neuropsychol,0887-6177,1873-5843,United States,Neurology; Psychology,1986,9004255
Archives of women's mental health.,Arch Womens Ment Health,1434-1816,1435-1102,Austria,Psychology; Women's Health,1998,9815663
Assessment.,Assessment,1073-1911,1552-3489,United States,Psychology,1994,9431219
"Attention, perception & psychophysics.",Atten Percept Psychophys,1943-3921,1943-393X,United States,Psychology; Psychophysiology,2009,101495384
Autism : the international journal of research and practice.,Autism,1362-3613,1461-7005,England,Psychiatry; Psychology,1997,9713494
BMC psychology.,BMC Psychol,,2050-7283,England,Psychology,2013,101627676
BMJ mental health.,BMJ Ment Health,,2755-9734,England,Psychology,2023,9918521385306676
Biopsychosocial science and medicine.,Biopsychosoc Sci Med,2998-8748,2998-8756,United States,Psychiatry; Psychology,2025,9918976361906676
Body image.,Body Image,1740-1445,1873-6807,Netherlands,Psychology,2004,101222431
British journal of health psychology.,Br J Health Psychol,1359-107X,2044-8287,England,Psychology,1996,9605409
British journal of psychology.,Br J Psychol,0007-1269,2044-8295,England,Psychology,1953,0373124
Canadian journal of experimental psychology = Revue canadienne de psychologie expérimentale.,Can J Exp Psychol,1196-1961,1878-7290,Canada,Psychology,1993,9315513
Child and adolescent mental health.,Child Adolesc Ment Health,1475-357X,1475-3588,England,Pediatrics; Psychology,2002,101142157
Child neuropsychology : a journal on normal and abnormal development in childhood and adolescence.,Child Neuropsychol,0929-7049,1744-4136,England,Neurology; Psychology,1995,9512515
Clinical child and family psychology review.,Clin Child Fam Psychol Rev,1096-4037,1573-2827,United States,Pediatrics; Psychology,1998,9807947
Clinical child psychology and psychiatry.,Clin Child Psychol Psychiatry,1359-1045,1461-7021,England,Pediatrics; Psychiatry; Psychology,1996,9604507
Clinical psychology & psychotherapy.,Clin Psychol Psychother,1063-3995,1099-0879,England,Psychiatry; Psychology; Therapeutics,1993,9416196
Clinical psychology review.,Clin Psychol Rev,0272-7358,1873-7811,United States,Psychology,1981,8111117
Cognition & emotion.,Cogn Emot,0269-9931,1464-0600,England,Psychology,1987,8710375
Cognition.,Cognition,0010-0277,1873-7838,Netherlands,Psychology,1972,0367541
Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology.,Cogn Behav Neurol,1543-3633,1543-3641,United States,Neurology; Psychiatry; Psychology,2003,101167278
Cognitive neuropsychology.,Cogn Neuropsychol,0264-3294,1464-0627,England,Neurology; Psychology,1984,8411889
Cognitive neuroscience.,Cogn Neurosci,1758-8928,1758-8936,England,Neurology; Psychology,2010,101518151
Cognitive processing.,Cogn Process,1612-4782,1612-4790,Germany,Psychology,2000,101177984
Cognitive psychology.,Cogn Psychol,0010-0285,1095-5623,Netherlands,Psychology,1970,0241111
Cognitive research: principles and implications.,Cogn Res Princ Implic,,2365-7464,England,Psychology,2016,101697632
Cognitive science.,Cogn Sci,0364-0213,1551-6709,United States,Psychology,1977,7708195
Community mental health journal.,Community Ment Health J,0010-3853,1573-2789,United States,Psychology,1965,0005735
Consciousness and cognition.,Conscious Cogn,1053-8100,1090-2376,United States,Psychology; Psychophysiology,1992,9303140
Criminal behaviour and mental health : CBMH.,Crim Behav Ment Health,0957-9664,1471-2857,England,Behavioral Sciences; Psychology,1991,9309668
Cultural diversity & ethnic minority psychology.,Cultur Divers Ethnic Minor Psychol,1099-9809,,United States,Psychology; Social Sciences,1999,100956435
Current opinion in psychology.,Curr Opin Psychol,2352-250X,2352-2518,Netherlands,Psychology,2015,101649136
"Cyberpsychology, behavior and social networking.",Cyberpsychol Behav Soc Netw,2152-2715,2152-2723,United States,Behavioral Sciences; Psychology,2010,101528721
Death studies.,Death Stud,0748-1187,1091-7683,United States,Health Services; Psychology,1985,8506890
Development and psychopathology.,Dev Psychopathol,0954-5794,1469-2198,United States,Psychiatry; Psychology,1989,8910645
Developmental neuropsychology.,Dev Neuropsychol,8756-5641,1532-6942,England,Neurology; Psychology,1985,8702038
Developmental psychology.,Dev Psychol,0012-1649,1939-0599,United States,Pediatrics; Psychology,1969,0260564
Developmental science.,Dev Sci,1363-755X,1467-7687,England,Psychology,1998,9814574
Emotion.,Emotion,1528-3542,1931-1516,United States,Psychology,2001,101125678
Ergonomics.,Ergonomics,0014-0139,1366-5847,England,Psychology,1957,0373220
European journal of psychotraumatology.,Eur J Psychotraumatol,,2000-8066,United States,Psychiatry; Psychology,2010,101559025
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior.,Evol Psychol,,1474-7049,England,Behavioral Sciences; Biology; Psychology,2003,101219668
Experimental psychology.,Exp Psychol,1618-3169,2190-5142,Germany,Psychology,2002,101138477
"Families, systems & health : the journal of collaborative family healthcare.",Fam Syst Health,1091-7527,1939-0602,United States,Primary Health Care; Psychology,1996,9610836
Family process.,Fam Process,0014-7370,1545-5300,United States,Primary Health Care; Psychology; Social Sciences,1962,0400666
Games for health journal.,Games Health J,2161-783X,2161-7856,United States,Psychology,2012,101583709
"Health psychology : official journal of the Division of Health Psychology, American Psychological Association.",Health Psychol,0278-6133,1930-7810,United States,Psychology,1982,8211523
Health psychology review.,Health Psychol Rev,1743-7199,1743-7202,England,Behavioral Sciences; Psychology,2007,101299723
History of psychology.,Hist Psychol,1093-4510,1939-0610,United States,History of Medicine; Psychology,1998,9808650
Human factors.,Hum Factors,0018-7208,1547-8181,United States,Psychology,1958,0374660
IEEE transactions on haptics.,IEEE Trans Haptics,1939-1412,2329-4051,United States,Biomedical Engineering; Psychology,2008,101491191
Infant mental health journal.,Infant Ment Health J,0163-9641,1097-0355,United States,Behavioral Sciences; Pediatrics; Psychology,1980,8007859
Integrative psychological & behavioral science.,Integr Psychol Behav Sci,1932-4502,1936-3567,United States,Behavioral Sciences; Psychology,2007,101319534
International journal of mental health nursing.,Int J Ment Health Nurs,1445-8330,1447-0349,Australia,Nursing; Psychology,2002,101140527
International journal of occupational safety and ergonomics : JOSE.,Int J Occup Saf Ergon,1080-3548,2376-9130,England,Occupational Medicine; Psychology,1995,9507598
International journal of psychology : Journal international de psychologie.,Int J Psychol,0020-7594,1464-066X,England,Psychology,1966,0107305
Issues in mental health nursing.,Issues Ment Health Nurs,0161-2840,1096-4673,England,Nursing; Psychology,1978,7907126
JAMA psychiatry.,JAMA Psychiatry,2168-622X,2168-6238,United States,Psychiatry; Psychology,2013,101589550
JMIR mental health.,JMIR Ment Health,,2368-7959,Canada,Health Services; Psychology,2014,101658926
Journal of child and adolescent mental health.,J Child Adolesc Ment Health,1728-0583,1728-0591,South Africa,Psychology,2003,101242019
Journal of child language.,J Child Lang,0305-0009,1469-7602,England,Psychology,1974,0425743
"Journal of child psychology and psychiatry, and allied disciplines.",J Child Psychol Psychiatry,0021-9630,1469-7610,England,Psychiatry; Psychology,1960,0375361
Journal of clinical and experimental neuropsychology.,J Clin Exp Neuropsychol,1380-3395,1744-411X,England,Neurology; Psychology,1985,8502170
"Journal of clinical child and adolescent psychology : the official journal for the Society of Clinical Child and Adolescent Psychology, American Psychological Association, Division 53.",J Clin Child Adolesc Psychol,1537-4416,1537-4424,England,Pediatrics; Psychology,2002,101133858
Journal of clinical psychology in medical settings.,J Clin Psychol Med Settings,1068-9583,1573-3572,United States,Psychology,1994,9435680
Journal of clinical psychology.,J Clin Psychol,0021-9762,1097-4679,United States,Psychology,1945,0217132
Journal of cognitive psychotherapy.,J Cogn Psychother,0889-8391,1938-887X,United States,Psychology,1987,8806397
Journal of community psychology.,J Community Psychol,0090-4392,1520-6629,United States,Psychology,1973,0367033
Journal of comparative psychology.,J Comp Psychol,0735-7036,1939-2087,United States,Psychology,1983,8309850
Journal of consulting and clinical psychology.,J Consult Clin Psychol,0022-006X,1939-2117,United States,Psychology,1968,0136553
Journal of counseling psychology.,J Couns Psychol,0022-0167,,United States,Psychology,1954,2985124R
Journal of experimental child psychology.,J Exp Child Psychol,0022-0965,1096-0457,United States,Pediatrics; Psychology,1964,2985128R
Journal of experimental psychology. Animal learning and cognition.,J Exp Psychol Anim Learn Cogn,2329-8456,2329-8464,United States,Behavioral Sciences; Psychology,2014,101632727
Journal of experimental psychology. Applied.,J Exp Psychol Appl,1076-898X,1939-2192,United States,Psychology,1995,9507618
Journal of experimental psychology. General.,J Exp Psychol Gen,0096-3445,1939-2222,United States,Psychology,1975,7502587
Journal of experimental psychology. Human perception and performance.,J Exp Psychol Hum Percept Perform,0096-1523,1939-1277,United States,Psychology,1975,7502589
"Journal of experimental psychology. Learning, memory, and cognition.",J Exp Psychol Learn Mem Cogn,0278-7393,1939-1285,United States,Psychology,1982,8207540
Journal of family psychology : JFP : journal of the Division of Family Psychology of the American Psychological Association (Division 43).,J Fam Psychol,0893-3200,1939-1293,United States,Psychology,1987,8802265
Journal of gambling studies,J Gambl Stud,1050-5350,1573-3602,United States,Psychology,1990,9425991
Journal of health psychology.,J Health Psychol,1359-1053,1461-7277,England,Psychology,1996,9703616
Journal of learning disabilities.,J Learn Disabil,0022-2194,1538-4780,United States,Psychology,1968,0157312
Journal of marital and family therapy.,J Marital Fam Ther,0194-472X,1752-0606,United States,Psychiatry; Psychology; Therapeutics,1979,7904614
Journal of mental health.,J Ment Health,0963-8237,1360-0567,England,Psychiatry; Psychology,1992,9212352
Journal of neuropsychology.,J Neuropsychol,1748-6645,1748-6653,England,Neurology; Psychology,2007,101468753
Journal of occupational health psychology.,J Occup Health Psychol,1076-8998,1939-1307,United States,Occupational Medicine; Psychology,1996,9612485
Journal of pediatric psychology.,J Pediatr Psychol,0146-8693,1465-735X,United States,Pediatrics; Psychology,1976,7801773
Journal of personality and social psychology.,J Pers Soc Psychol,0022-3514,1939-1315,United States,Psychology,1965,0014171
Journal of personality assessment.,J Pers Assess,0022-3891,1532-7752,England,Psychiatry; Psychology,1971,1260201
Journal of personality disorders.,J Pers Disord,0885-579X,1943-2763,United States,Psychiatry; Psychology,1987,8710838
Journal of personality.,J Pers,0022-3506,1467-6494,United States,Psychology,1945,2985194R
Journal of psychiatric and mental health nursing.,J Psychiatr Ment Health Nurs,1351-0126,1365-2850,England,Nursing; Psychiatry; Psychology,1994,9439514
Journal of psycholinguistic research.,J Psycholinguist Res,0090-6905,1573-6555,United States,Psychology,1971,0333506
Journal of psychopathology and clinical science.,J Psychopathol Clin Sci,2769-7541,2769-755X,United States,Psychology,2022,9918351179206676
Journal of psychosocial nursing and mental health services.,J Psychosoc Nurs Ment Health Serv,0279-3695,,United States,Nursing; Psychology,1981,8200911
Journal of psychosocial oncology.,J Psychosoc Oncol,0734-7332,1540-7586,United States,Neoplasms; Psychology; Social Sciences,1983,8309337
Journal of religion and health.,J Relig Health,0022-4197,1573-6571,United States,Medicine; Psychology; Social Sciences,1961,2985199R
Journal of reproductive and infant psychology.,J Reprod Infant Psychol,0264-6838,1469-672X,England,Psychology; Reproductive Medicine,1983,8501885
Journal of research on adolescence : the official journal of the Society for Research on Adolescence.,J Res Adolesc,1050-8392,1532-7795,United States,Pediatrics; Psychology,1991,9109126
Journal of school psychology.,J Sch Psychol,0022-4405,1873-3506,United States,Education; Psychology,1963,0050303
Journal of sport & exercise psychology.,J Sport Exerc Psychol,0895-2779,1543-2904,United States,Psychology; Sports Medicine,1988,8809258
Journal of the International Neuropsychological Society : JINS.,J Int Neuropsychol Soc,1355-6177,1469-7661,England,Neurology; Psychology,1995,9503760
Journal of traumatic stress.,J Trauma Stress,0894-9867,1573-6598,United States,Military Medicine; Psychology,1988,8809259
Journal of youth and adolescence.,J Youth Adolesc,0047-2891,1573-6601,United States,Behavioral Sciences; Pediatrics; Psychology,1972,0333507
Memory & cognition.,Mem Cognit,0090-502X,1532-5946,United States,Psychology,1973,0357443
Memory.,Memory,0965-8211,1464-0686,England,Psychology,1993,9306862
"Military psychology : the official journal of the Division of Military Psychology, American Psychological Association.",Mil Psychol,0899-5605,1532-7876,United States,Military Medicine; Psychology,1989,8915802
Multivariate behavioral research.,Multivariate Behav Res,0027-3171,1532-7906,United States,Behavioral Sciences; Psychology; Statistics as Topic,1966,0046052
Nature human behaviour.,Nat Hum Behav,,2397-3374,England,Behavioral Sciences; Psychology,2017,101697750
Neurocase.,Neurocase,1355-4794,1465-3656,England,Behavioral Sciences; Neurology; Psychiatry; Psychology,1995,9511374
Neuropsychologia.,Neuropsychologia,0028-3932,1873-3514,England,Neurology; Psychology,1963,0020713
Neuropsychological rehabilitation.,Neuropsychol Rehabil,0960-2011,1464-0694,England,Neurology; Physical and Rehabilitation Medicine; Psychology,1991,9112672
Neuropsychology review.,Neuropsychol Rev,1040-7308,1573-6660,United States,Neurology; Psychology,1990,9009029
"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition.",Neuropsychol Dev Cogn B Aging Neuropsychol Cogn,1382-5585,1744-4128,United States,Geriatrics; Neurology; Psychology,1996,9614434
Neuropsychology.,Neuropsychology,0894-4105,1931-1559,United States,Neurology; Psychology,1987,8904467
New directions for student leadership.,New Dir Stud Leadersh,2373-3349,2373-3357,United States,Psychiatry; Psychology,2015,101669124
"Nonlinear dynamics, psychology, and life sciences.",Nonlinear Dynamics Psychol Life Sci,1090-0578,,United States,Biology; Psychology,1997,9704130
Palliative & supportive care.,Palliat Support Care,1478-9515,1478-9523,England,Palliative Care; Psychology,2003,101232529
Perception.,Perception,0301-0066,1468-4233,United States,Psychology; Psychophysiology,1972,0372307
Perceptual and motor skills.,Percept Mot Skills,0031-5125,1558-688X,United States,Psychology; Psychophysiology,1955,0401131
Personality & social psychology bulletin.,Pers Soc Psychol Bull,0146-1672,1552-7433,United States,Psychology,1975,7809042
Personality and mental health.,Personal Ment Health,1932-8621,1932-863X,England,Psychiatry; Psychology,2007,101473502
"Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc.",Pers Soc Psychol Rev,1088-8683,1532-7957,United States,Psychology; Social Sciences,1997,9703164
Personality disorders.,Personal Disord,1949-2715,1949-2723,United States,Psychology,2010,101517071
Perspectives on psychological science : a journal of the Association for Psychological Science.,Perspect Psychol Sci,1745-6916,1745-6924,United States,Psychology,2006,101274347
Praxis der Kinderpsychologie und Kinderpsychiatrie.,Prax Kinderpsychol Kinderpsychiatr,0032-7034,2196-8225,Germany,Pediatrics; Psychiatry; Psychology,1952,0404246
Psicothema.,Psicothema,0214-9915,1886-144X,Spain,Psychology,1989,101189384
PsyCh journal.,Psych J,2046-0252,2046-0260,Australia,Psychology,2012,101598595
Psycho-oncology.,Psychooncology,1057-9249,1099-1611,England,Neoplasms; Psychology,1992,9214524
Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society.,Psychogeriatrics,1346-3500,1479-8301,England,Geriatrics; Psychology,2001,101230058
Psychological assessment.,Psychol Assess,1040-3590,1939-134X,United States,Psychology,1989,8915253
Psychological bulletin.,Psychol Bull,0033-2909,1939-1455,United States,Psychology,1904,0376473
Psychological medicine.,Psychol Med,0033-2917,1469-8978,England,Psychology,1970,1254142
Psychological methods.,Psychol Methods,1082-989X,1939-1463,United States,Psychology,1996,9606928
Psychological reports.,Psychol Rep,0033-2941,1558-691X,United States,Psychology,1955,0376475
Psychological research.,Psychol Res,0340-0727,1430-2772,Germany,Psychology,1974,0435062
Psychological review.,Psychol Rev,0033-295X,1939-1471,United States,Psychology,1894,0376476
Psychological science in the public interest : a journal of the American Psychological Society.,Psychol Sci Public Interest,1529-1006,2160-0031,United States,Psychology,2000,100940059
Psychological science.,Psychol Sci,0956-7976,1467-9280,United States,Psychology,1990,9007542
Psychological services.,Psychol Serv,1541-1559,1939-148X,United States,Health Services; Psychology,2004,101214316
"Psychological trauma : theory, research, practice and policy.",Psychol Trauma,1942-9681,1942-969X,United States,Psychology,2009,101495376
Psychology & health.,Psychol Health,0887-0446,1476-8321,England,Psychology,1987,8807983
Psychology and aging.,Psychol Aging,0882-7974,1939-1498,United States,Geriatrics; Psychology,1986,8904079
Psychology and psychotherapy.,Psychol Psychother,1476-0835,2044-8341,England,Psychiatry; Psychology; Therapeutics,2002,101135751
Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors.,Psychol Addict Behav,0893-164X,1939-1501,United States,Psychology; Substance-Related Disorders,1987,8802734
Psychology of sport and exercise.,Psychol Sport Exerc,1469-0292,1878-5476,Netherlands,Psychology; Sports Medicine,2000,101088724
"Psychology, health & medicine.",Psychol Health Med,1354-8506,1465-3966,England,Health Services; Medicine; Psychology,1996,9604099
Psychonomic bulletin & review.,Psychon Bull Rev,1069-9384,1531-5320,United States,Psychology,1994,9502924
Psychosocial intervention.,Psychosoc Interv,,,Spain,Psychology; Social Sciences,2019,9918644986606676
Psychotherapy research : journal of the Society for Psychotherapy Research.,Psychother Res,1050-3307,1468-4381,England,Psychiatry; Psychology; Therapeutics,1991,9110958
Psychotherapy.,Psychotherapy (Chic),0033-3204,1939-1536,United States,Psychology; Therapeutics,1963,2984829R
Rehabilitation psychology.,Rehabil Psychol,0090-5550,1939-1544,United States,Physical and Rehabilitation Medicine; Psychology,1972,0365337
Research on aging.,Res Aging,0164-0275,1552-7573,United States,Geriatrics; Psychology,1979,7908221
Research on child and adolescent psychopathology.,Res Child Adolesc Psychopathol,2730-7166,2730-7174,United States,Pediatrics; Psychiatry; Psychology,2020,101773609
Santé mentale au Québec.,Sante Ment Que,0383-6320,1708-3923,Canada,Health Services; Psychiatry; Psychology,1976,9424773
Scandinavian journal of psychology.,Scand J Psychol,0036-5564,1467-9450,England,Psychology,1960,0404510
School psychology.,Sch Psychol,2578-4218,2578-4226,United States,Education; Psychology,2019,101743576
Spanish journal of psychiatry and mental health.,Span J Psychiatry Ment Health,,2950-2853,Spain,Psychiatry; Psychology,2023,9918697477806676
Stress and health : journal of the International Society for the Investigation of Stress.,Stress Health,1532-3005,1532-2998,England,Psychology,2001,101089166
The American journal of clinical hypnosis.,Am J Clin Hypn,0002-9157,2160-0562,United States,Psychology; Therapeutics,1958,0100626
The American journal of orthopsychiatry.,Am J Orthopsychiatry,0002-9432,1939-0025,United States,Psychiatry; Psychology,1930,0400640
The American psychologist.,Am Psychol,0003-066X,1935-990X,United States,Psychology,1946,0370521
The Behavioral and brain sciences.,Behav Brain Sci,0140-525X,1469-1825,England,Behavioral Sciences; Brain; Neurology; Psychology,1978,7808666
The British journal of clinical psychology,Br J Clin Psychol,0144-6657,,England,Psychology,1981,8105533
The British journal of developmental psychology.,Br J Dev Psychol,0261-510X,2044-835X,England,Pediatrics; Psychology,1983,8308022
